ZOE,"АТ ""Запоріжжяобленерго"" телеграм канал"
"1.2: 00:00 – 05:00, 18:00 – 22:30","1.2: 00:00 – 05:00, 18:00 – 22:30"
"2.1: 00:00 – 00:30, 13:30 – 18:30","2.1: 00:00 – 00:30, 13:30 – 18:30"
"2.2: 07:30 – 09:30, 13:30 – 18:30","2.2: 07:30 – 09:30, 13:30 – 18:30"
"3.1: 09:00 – 14:00, 18:00 – 23:00","3.1: 09:00 – 14:00, 18:00 – 23:00"
"3.2: 09:00 – 14:00, 18:00 – 23:00","3.2: 09:00 – 14:00, 18:00 – 23:00"
"4.1: 04:30 – 09:30, 22:30 – 24:00","4.1: 04:30 – 09:30, 22:30 – 24:00"
"4.2: 05:30 – 09:30, 22:30 – 24:00","4.2: 05:30 – 09:30, 22:30 – 24:00"
5.1: 09:00 – 14:00,5.1: 09:00 – 14:00
5.2: 09:00 – 14:00,5.2: 09:00 – 14:00
"6.1: 05:30 – 09:30, 13:30 – 18:30","6.1: 05:30 – 09:30, 13:30 – 18:30"
"6.2: 07:30 – 09:30, 13:30 – 18:30","6.2: 07:30 – 09:30, 13:30 – 18:30"
,
ОНОВЛЕНО ГПВ НА 04 ГРУДНЯ (оновлено о 10:10),ОНОВЛЕНО ГПВ НА 04 ГРУДНЯ (message_id 2539)
"1.1: 09:00 – 11:00, 18:00 – 22:30","1.1: 09:00 – 11:00, 18:00 – 22:30"
"1.2: 00:00 – 05:00, 18:00 – 20:30","1.2: 00:00 – 05:00, 18:00 – 20:30"
"2.1: 00:00 – 00:30, 13:30 – 18:30","2.1: 00:00 – 00:30, 13:30 – 18:30"
"2.2: 07:30 – 09:30, 13:30 – 18:30","2.2: 07:30 – 09:30, 13:30 – 18:30"
"3.1: 09:00 – 14:00, 18:00 – 23:00","3.1: 09:00 – 14:00, 18:00 – 23:00"
"3.2: 09:00 – 14:00, 18:00 – 23:00","3.2: 09:00 – 14:00, 18:00 – 23:00"
"4.1: 04:30 – 09:30, 22:30 – 24:00","4.1: 04:30 – 09:30, 22:30 – 24:00"
"4.2: 05:30 – 09:30, 22:30 – 24:00","4.2: 05:30 – 09:30, 22:30 – 24:00"
5.1: 09:00 – 14:00,5.1: 09:00 – 14:00
5.2: 09:00 – 14:00,5.2: 09:00 – 14:00
"6.1: 05:30 – 09:30, 13:30 – 18:30","6.1: 05:30 – 09:30, 13:30 – 18:30"
"6.2: 07:30 – 09:30, 13:30 – 18:30","6.2: 07:30 – 09:30, 13:30 – 18:30"
,
04 ГРУДНЯ ПО ЗАПОРІЗЬКІЙ ОБЛАСТІ ДІЯТИМУТЬ ГПВ,04 ГРУДНЯ ПО ЗАПОРІЗЬКІЙ ОБЛАСТІ ДІЯТИМУТЬ ГПВ (message_id 2537)
"1.1: 09:00 – 14:00, 18:00 – 22:30","1.1: 09:00 – 14:00, 18:00 – 22:30"
"1.2: 00:00 – 05:00, 18:00 – 20:30","1.2: 00:00 – 05:00, 18:00 – 20:30"
"2.1: 00:00 – 00:30, 13:30 – 18:30, 22:30 – 24:00","2.1: 00:00 – 00:30, 13:30 – 18:30, 22:30 – 24:00"
"2.2: 07:30 – 09:30, 13:30 – 18:30, 22:30 – 24:00","2.2: 07:30 – 09:30, 13:30 – 18:30, 22:30 – 24:00"
"3.1: 09:00 – 14:00, 18:00 – 23:00","3.1: 09:00 – 14:00, 18:00 – 23:00"
"3.2: 09:00 – 14:00, 18:00 – 23:00","3.2: 09:00 – 14:00, 18:00 – 23:00"
"4.1: 04:30 – 09:30, 13:30 – 18:30","4.1: 04:30 – 09:30, 13:30 – 18:30"
"4.2: 05:30 – 09:30, 13:30 – 18:30","4.2: 05:30 – 09:30, 13:30 – 18:30"
"5.1: 09:00 – 14:00, 18:00 – 22:30","5.1: 09:00 – 14:00, 18:00 – 22:30"
5.2: 09:00 – 14:00,5.2: 09:00 – 14:00
"6.1: 05:30 – 09:30, 13:30 – 18:30","6.1: 05:30 – 09:30, 13:30 – 18:30"
"6.2: 07:30 – 09:30, 13:30 – 18:30","6.2: 07:30 – 09:30, 13:30 – 18:30"
